date,rule,time,seed,length,memorizee,answer,result
2019-02-11 19:34:45 +0900,flash,60.0,12,10,1202050410,1202050410,correct
2019-02-11 19:35:59 +0900,flash,60.0,12,10,1112081111,1112081111,correct
2019-02-11 19:37:09 +0900,flash,60.0,12,10,0200040000,0200040000,correct
2019-02-11 19:38:50 +0900,flash,30.0,12,10,0006100410,0006100410,correct
2019-02-11 19:39:43 +0900,flash,30.0,12,10,0905090002,0905091000,wrong
2019-02-11 19:41:36 +0900,flash,30.0,12,10,0910120606,0910120606,correct
2019-02-11 19:42:50 +0900,flash,30.0,12,10,0501060501,0501060501,correct
2019-02-11 19:44:04 +0900,flash,30.0,12,10,0905010603,09xx010603,wrong
2019-02-11 19:45:21 +0900,flash,30.0,12,10,0909020401,0909020401,correct
2019-02-11 19:46:20 +0900,flash,30.0,12,10,0412070000,0412070000,correct
2019-02-11 19:47:22 +0900,flash,30.0,12,10,1007070211,1007070211,correct
2019-02-11 19:57:21 +0900,flash,30.0,14,10,1004100102,1004100102,correct
2019-02-11 19:58:23 +0900,flash,30.0,14,10,0010060610,0010060610,correct
2019-02-11 20:01:36 +0900,flash,30.0,14,10,0103020912,0103020912,correct
2019-02-11 20:02:21 +0900,flash,30.0,14,10,0407120912,0407120912,correct
2019-02-11 20:03:45 +0900,flash,30.0,14,10,0109080312,0109080312,correct
2019-02-11 20:05:05 +0900,flash,30.0,14,10,0206110313,0206110313,correct
2019-02-11 20:06:45 +0900,flash,30.0,14,10,1000110403,100111xx03,wrong
2019-02-11 20:08:08 +0900,flash,30.0,14,10,0113011211,0113011211,correct
2019-02-11 20:09:39 +0900,flash,40.0,14,10,0703140304,07031403xx,wrong
2019-02-11 20:11:48 +0900,flash,40.0,14,10,0314000008,0314000008,correct
2019-02-11 20:13:30 +0900,flash,40.0,14,10,0700000404,0700000404,correct
2019-02-11 20:14:43 +0900,flash,40.0,14,10,1410030502,1410030502,correct
2019-02-11 20:16:17 +0900,flash,40.0,14,10,0512070907,0512070907,correct
2019-02-11 20:17:37 +0900,flash,40.0,14,10,0502130410,0502130410,correct
2019-02-11 20:19:27 +0900,flash,40.0,14,10,0500091210,0500091202,wrong
2019-02-11 20:22:11 +0900,flash,40.0,14,10,0909071000,0909071000,correct
2019-02-11 20:23:30 +0900,flash,40.0,14,10,0506001202,0506xxxx0,wrong
2019-02-11 20:24:53 +0900,flash,40.0,14,10,0602060209,0602060209,correct
2019-02-11 20:26:05 +0900,flash,40.0,15,12,090008001403,090008001403,correct
2019-02-11 20:27:12 +0900,flash,40.0,15,12,090303100808,090303100808,correct
2019-02-11 20:28:58 +0900,flash,60.0,15,16,1305080815020115,1305080815020115,correct
2019-02-11 20:31:30 +0900,flash,60.0,15,16,0503140813080300,0503140813080300,correct
2019-02-11 20:33:13 +0900,flash,60.0,15,16,1509000708001502,1509000708001502,correct
2019-02-11 20:35:29 +0900,flash,60.0,15,16,0405151506030609,0405151506030609,correct
2019-02-11 20:37:58 +0900,flash,60.0,15,16,0804111211011507,0804111211011507,correct
2019-02-11 20:40:34 +0900,flash,60.0,19,16,0204150212090304,0204150212090304,correct
2019-02-11 20:42:53 +0900,flash,60.0,19,16,0414120006190105,0414120006190105,correct
2019-02-11 20:46:33 +0900,flash,60.0,19,16,0203051616191905,0203051616191905,correct
2019-02-11 20:48:21 +0900,flash,60.0,19,16,0203081904180802,0203081904180802,correct
2019-02-11 20:54:34 +0900,flash,45.0,19,16,0503110506071504,0503110506071504,correct
2019-02-11 20:56:29 +0900,flash,45.0,19,16,0012111603160704,0012111603160704,correct
2019-02-11 20:58:35 +0900,flash,45.0,19,16,0507041501140203,0507041501140203,correct
2019-02-11 21:00:27 +0900,flash,45.0,19,16,1410010608171707,1410010608171707,correct
2019-02-11 21:39:32 +0900,flash,45.0,29,16,0403200715241529,0403200715241529,correct
2019-02-11 21:41:04 +0900,flash,45.0,29,16,0904142808271509,090414280827xxxx,wrong
2019-02-11 21:42:38 +0900,flash,45.0,29,16,0327102411241617,0327102411241617,correct
2019-02-11 21:45:37 +0900,flash,45.0,29,16,1405071925050219,,wrong
2019-02-11 21:46:30 +0900,flash,45.0,29,16,1027272904060505,,wrong
2019-02-11 21:47:18 +0900,flash,45.0,29,16,2207260129241227,,wrong
2019-02-11 21:48:34 +0900,flash,45.0,29,16,0925051717071225,0925051717071225,correct
2019-02-11 21:50:27 +0900,flash,45.0,29,16,1314131525210802,,wrong
2019-02-11 21:51:51 +0900,flash,45.0,29,16,2207132104021128,229713921,wrong
2019-02-11 21:53:20 +0900,flash,45.0,29,16,1824121108171829,18241211081718,wrong
2019-02-11 21:55:20 +0900,flash,45.0,29,16,2216071601102025,2216071601100125,wrong
2019-02-11 21:57:10 +0900,flash,45.0,29,16,1513080506131116,1513080506131116,correct
2019-02-11 21:58:33 +0900,flash,45.0,29,16,0006240114072705,0006240114072705,correct
2019-02-11 22:25:59 +0900,flash,45.0,29,16,1316120017212911,13,wrong
2019-02-11 22:26:59 +0900,flash,45.0,29,16,1925242506291806,1925,wrong
2019-02-11 22:28:19 +0900,flash,45.0,29,16,2813052523250627,2813052523250627,correct
2019-02-11 22:29:19 +0900,call,1.0,29,4,0712,0712,correct
2019-02-11 22:31:51 +0900,call,1.0,29,8,00280710,00280710,correct
2019-02-11 22:32:11 +0900,call,1.0,29,8,21082123,21082123,correct
2019-02-11 22:32:37 +0900,call,1.0,29,8,13030708,1303,wrong
2019-02-11 22:33:33 +0900,call,1.0,29,8,03242309,03242309,correct
2019-02-11 22:34:12 +0900,call,1.0,29,8,00000322,00000322,correct
2019-02-11 22:34:41 +0900,call,1.0,29,8,19111606,19111696,wrong
2019-02-11 22:36:15 +0900,call,1.0,29,8,27161320,2716xx20,wrong
2019-02-11 22:36:40 +0900,call,1.0,29,8,08161422,08161422,correct
2019-02-11 22:37:22 +0900,call,1.0,29,8,03091608,0309xx08,wrong
2019-02-11 22:37:49 +0900,call,1.0,29,8,24251523,,wrong
2019-02-12 00:26:06 +0900,flash,45.0,19,10,0508020012,0508020012,correct
2019-02-12 00:26:59 +0900,flash,45.0,19,10,0318140001,0318140001,correct
2019-02-12 00:27:58 +0900,flash,30.0,19,12,051202050808,051202050808,correct
2019-02-12 00:28:48 +0900,flash,30.0,19,12,131301101913,131301101913,correct
2019-02-12 00:29:31 +0900,flash,30.0,19,12,150615110518,150615110518,correct
2019-02-12 00:30:49 +0900,flash,30.0,19,12,150312090415,150312090415,correct
2019-02-12 00:31:38 +0900,flash,30.0,19,12,020906180613,020906180613,correct
2019-02-12 00:32:27 +0900,flash,30.0,19,12,160318150616,160318150616,correct
